# SusceptibilitySimulation
#
# Neuron parameters: 
# mu = 3.5
# D = 0.1
# tau_a = 10
# Delta = 0.1
#
# TimeFrame: 
# t_0 = 0
# t_end = 1000
# dt = 0.01
#
# Signal parameters: 
# type = white noise
# alpha = 1
# f_low = 0
# f_high = 50
#
# Data format:
# Frequency, Re(Susceptibility), Im(Susceptibility)
#
0.819,0.993308,-0.0301123
0.82,0.995318,-0.0391557
0.821,0.98334,-0.0643099
0.822,0.97833,-0.0512285
0.823,0.97241,-0.0522842
0.824,0.984927,-0.0390043
0.825,0.963719,-0.039349
0.826,1.00582,-0.0567484
0.827,1.00659,-0.043887
0.828,0.99798,-0.0535827
0.829,1.00467,-0.0678244
0.83,0.991244,-0.0262117
0.831,0.983672,-0.0121632
0.832,1.01698,-0.0455769
0.833,0.986154,-0.0358129
0.834,0.987844,-0.0618433
0.835,0.977912,-0.0259205
0.836,0.985519,-0.0571235
0.837,1.00758,-0.0526429
0.838,0.98702,-0.0135397
0.839,1.00398,-0.0544413
0.84,1.01001,-0.0417745
0.841,0.989687,-0.015655
0.842,0.970415,-0.0240922
0.843,0.975656,-0.0214362
0.844,1.02253,-0.0432252
0.845,0.985404,-0.0521378
0.846,0.982737,-0.0344852
0.847,0.97426,-0.052569
